Service,Discovery URL
abusiveexperiencereport,https://abusiveexperiencereport.googleapis.com/$discovery/rest?version=v1
acceleratedmobilepageurl,https://acceleratedmobilepageurl.googleapis.com/$discovery/rest?version=v1
accessapproval,https://accessapproval.googleapis.com/$discovery/rest?version=v1
accesscontextmanager,https://accesscontextmanager.googleapis.com/$discovery/rest?version=v1
addressvalidation,https://addressvalidation.googleapis.com/$discovery/rest?version=v1
adexchangebuyer,https://adexchangebuyer.googleapis.com/$discovery/rest?version=v2beta1
adexperiencereport,https://adexperiencereport.googleapis.com/$discovery/rest?version=v1
admin,https://admin.googleapis.com/$discovery/rest?version=datatransfer_v1
admin,https://admin.googleapis.com/$discovery/rest?version=directory_v1
admin,https://admin.googleapis.com/$discovery/rest?version=reports_v1
admob,https://admob.googleapis.com/$discovery/rest?version=v1beta
admob,https://admob.googleapis.com/$discovery/rest?version=v1
adsense,https://adsense.googleapis.com/$discovery/rest?version=v2
adsenseplatform,https://adsenseplatform.googleapis.com/$discovery/rest?version=v1alpha
adsenseplatform,https://adsenseplatform.googleapis.com/$discovery/rest?version=v1
advisorynotifications,https://advisorynotifications.googleapis.com/$discovery/rest?version=v1
aiplatform,https://aiplatform.googleapis.com/$discovery/rest?version=v1beta1
aiplatform,https://aiplatform.googleapis.com/$discovery/rest?version=v1
airquality,https://airquality.googleapis.com/$discovery/rest?version=v1
alertcenter,https://alertcenter.googleapis.com/$discovery/rest?version=v1beta1
alloydb,https://alloydb.googleapis.com/$discovery/rest?version=v1alpha
alloydb,https://alloydb.googleapis.com/$discovery/rest?version=v1beta
alloydb,https://alloydb.googleapis.com/$discovery/rest?version=v1
analytics,https://analytics.googleapis.com/$discovery/rest?version=v3
analyticsadmin,https://analyticsadmin.googleapis.com/$discovery/rest?version=v1alpha
analyticsadmin,https://analyticsadmin.googleapis.com/$discovery/rest?version=v1beta
analyticsdata,https://analyticsdata.googleapis.com/$discovery/rest?version=v1beta
analyticshub,https://analyticshub.googleapis.com/$discovery/rest?version=v1beta1
analyticshub,https://analyticshub.googleapis.com/$discovery/rest?version=v1
analyticsreporting,https://analyticsreporting.googleapis.com/$discovery/rest?version=v4
androiddeviceprovisioning,https://androiddeviceprovisioning.googleapis.com/$discovery/rest?version=v1
androidenterprise,https://androidenterprise.googleapis.com/$discovery/rest?version=v1
androidmanagement,https://androidmanagement.googleapis.com/$discovery/rest?version=v1
androidpublisher,https://androidpublisher.googleapis.com/$discovery/rest?version=v3
apigateway,https://apigateway.googleapis.com/$discovery/rest?version=v1beta
apigateway,https://apigateway.googleapis.com/$discovery/rest?version=v1
apigee,https://apigee.googleapis.com/$discovery/rest?version=v1
apigeeregistry,https://apigeeregistry.googleapis.com/$discovery/rest?version=v1
apikeys,https://apikeys.googleapis.com/$discovery/rest?version=v2
apim,https://apim.googleapis.com/$discovery/rest?version=v1alpha
appengine,https://appengine.googleapis.com/$discovery/rest?version=v1alpha
appengine,https://appengine.googleapis.com/$discovery/rest?version=v1beta
appengine,https://appengine.googleapis.com/$discovery/rest?version=v1
apphub,https://apphub.googleapis.com/$discovery/rest?version=v1alpha
apphub,https://apphub.googleapis.com/$discovery/rest?version=v1
area120tables,https://area120tables.googleapis.com/$discovery/rest?version=v1alpha1
artifactregistry,https://artifactregistry.googleapis.com/$discovery/rest?version=v1beta1
artifactregistry,https://artifactregistry.googleapis.com/$discovery/rest?version=v1beta2
artifactregistry,https://artifactregistry.googleapis.com/$discovery/rest?version=v1
assuredworkloads,https://assuredworkloads.googleapis.com/$discovery/rest?version=v1beta1
assuredworkloads,https://assuredworkloads.googleapis.com/$discovery/rest?version=v1
authorizedbuyersmarketplace,https://authorizedbuyersmarketplace.googleapis.com/$discovery/rest?version=v1alpha
authorizedbuyersmarketplace,https://authorizedbuyersmarketplace.googleapis.com/$discovery/rest?version=v1
backupdr,https://backupdr.googleapis.com/$discovery/rest?version=v1
baremetalsolution,https://baremetalsolution.googleapis.com/$discovery/rest?version=v2
batch,https://batch.googleapis.com/$discovery/rest?version=v1
beyondcorp,https://beyondcorp.googleapis.com/$discovery/rest?version=v1alpha
beyondcorp,https://beyondcorp.googleapis.com/$discovery/rest?version=v1
biglake,https://biglake.googleapis.com/$discovery/rest?version=v1
bigquery,https://bigquery.googleapis.com/$discovery/rest?version=v2
bigqueryconnection,https://bigqueryconnection.googleapis.com/$discovery/rest?version=v1beta1
bigqueryconnection,https://bigqueryconnection.googleapis.com/$discovery/rest?version=v1
bigquerydatapolicy,https://bigquerydatapolicy.googleapis.com/$discovery/rest?version=v1
bigquerydatatransfer,https://bigquerydatatransfer.googleapis.com/$discovery/rest?version=v1
bigqueryreservation,https://bigqueryreservation.googleapis.com/$discovery/rest?version=v1
bigtableadmin,https://bigtableadmin.googleapis.com/$discovery/rest?version=v2
